time,control,MK801
9.305,-48.4375,-41.84375
9.30505,-48.1875,-41.65625
9.305100000000001,-47.8125,-41.875
9.305150000000001,-47.90625,-42.1875
9.305200000000001,-48.1875,-42.09375
9.305250000000001,-48.09375,-41.6875
9.3053,-47.78125,-41.84375
9.30535,-48.0,-42.03125
9.3054,-48.4375,-42.21875
9.30545,-48.25,-41.96875
9.3055,-47.9375,-41.78125
9.30555,-47.59375,-41.96875
9.3056,-48.0,-42.375
9.30565,-48.03125,-42.40625
9.3057,-47.875,-41.9375
9.30575,-47.65625,-41.96875
9.3058,-48.15625,-42.34375
9.305850000000001,-48.25,-42.5
9.305900000000001,-47.875,-42.21875
9.305950000000001,-47.625,-41.90625
9.306000000000001,-47.75,-42.25
9.30605,-47.875,-42.4375
9.3061,-47.96875,-42.53125
9.30615,-47.8125,-42.1875
9.3062,-47.9375,-42.28125
9.30625,-48.0625,-42.125
9.3063,-47.96875,-42.84375
9.30635,-47.8125,-42.5
9.3064,-47.53125,-42.125
9.30645,-47.8125,-42.3125
9.3065,-48.125,-42.5625
9.30655,-47.9375,-42.8125
9.306600000000001,-47.6875,-42.4375
9.306650000000001,-48.0,-42.1875
9.306700000000001,-48.09375,-42.3125
9.306750000000001,-47.78125,-42.71875
9.3068,-47.3125,-42.75
9.30685,-47.6875,-42.40625
9.3069,-48.15625,-42.1875
9.30695,-48.09375,-42.5
9.307,-47.84375,-42.9375
9.30705,-47.71875,-42.6875
9.3071,-47.96875,-42.3125
9.30715,-47.90625,-42.5625
9.3072,-47.5,-42.9375
9.30725,-47.5,-42.90625
9.3073,-48.0,-42.46875
9.30735,-48.25,-42.5
9.307400000000001,-47.8125,-42.75
9.307450000000001,-47.46875,-42.8125
9.307500000000001,-47.8125,-42.71875
9.30755,-47.90625,-42.5
9.3076,-47.46875,-42.5
9.30765,-47.53125,-42.71875
9.3077,-47.96875,-42.9375
9.30775,-48.0625,-42.71875
9.3078,-47.90625,-42.40625
9.30785,-47.65625,-42.71875
9.3079,-47.6875,-43.0625
9.30795,-47.84375,-42.96875
9.308,-47.625,-42.65625
9.30805,-47.8125,-42.53125
9.3081,-47.78125,-43.03125
9.308150000000001,-48.125,-43.21875
9.308200000000001,-47.90625,-42.84375
9.308250000000001,-47.65625,-42.78125
9.308300000000001,-47.4375,-42.90625
9.30835,-47.84375,-43.1875
9.3084,-47.875,-43.15625
9.30845,-47.6875,-42.84375
9.3085,-47.5625,-42.5625
9.30855,-47.90625,-43.0
9.3086,-48.0625,-43.28125
9.30865,-47.625,-43.0
9.3087,-47.4375,-42.84375
9.30875,-47.4375,-42.6875
9.3088,-47.65625,-43.09375
9.30885,-47.78125,-43.28125
9.308900000000001,-47.78125,-42.9375
9.308950000000001,-47.75,-42.8125
9.309000000000001,-47.8125,-43.09375
9.309050000000001,-47.78125,-43.28125
9.3091,-47.4375,-43.25
9.30915,-47.40625,-42.8125
9.3092,-47.875,-43.03125
9.30925,-47.96875,-43.1875
9.3093,-47.6875,-43.28125
9.30935,-47.40625,-43.1875
9.3094,-47.84375,-42.96875
9.30945,-47.65625,-42.96875
9.3095,-47.4375,-43.4375
9.30955,-47.21875,-43.21875
9.3096,-47.78125,-43.0625
9.309650000000001,-47.96875,-43.0
9.309700000000001,-48.0625,-43.25
9.309750000000001,-47.53125,-43.375
9.309800000000001,-47.53125,-43.1875
9.30985,-47.84375,-42.9375
9.3099,-47.6875,-43.09375
9.30995,-47.25,-43.25
9.31,-47.5625,-43.125
9.31005,-47.90625,-43.0625
9.3101,-47.9375,-43.03125
9.31015,-47.5,-43.125
9.3102,-47.34375,-43.375
9.31025,-47.75,-43.0625
9.3103,-47.71875,-42.96875
9.31035,-47.375,-42.9375
9.3104,-47.4375,-43.28125
9.310450000000001,-47.875,-43.25
9.310500000000001,-47.96875,-43.125
9.310550000000001,-47.75,-42.90625
9.3106,-47.375,-43.25
9.31065,-47.59375,-43.40625
9.3107,-47.75,-43.09375
9.31075,-47.625,-42.90625
9.3108,-47.53125,-43.15625
9.31085,-47.75,-43.25
9.3109,-47.96875,-43.25
9.31095,-47.75,-43.03125
9.311,-47.4375,-42.9375
9.31105,-47.46875,-43.34375
9.3111,-47.625,-43.25
9.31115,-47.71875,-43.3125
9.311200000000001,-47.5625,-43.0
9.311250000000001,-47.53125,-43.0
9.311300000000001,-47.71875,-43.1875
9.311350000000001,-47.75,-43.46875
9.3114,-47.625,-43.1875
9.31145,-47.25,-42.96875
9.3115,-47.40625,-43.28125
9.31155,-47.84375,-43.3125
9.3116,-47.8125,-43.3125
9.31165,-47.46875,-43.09375
9.3117,-47.46875,-43.1875
9.31175,-47.78125,-43.53125
9.3118,-47.5,-43.25
9.31185,-47.03125,-43.28125
9.3119,-47.3125,-43.4375
9.311950000000001,-47.8125,-43.15625
9.312000000000001,-47.71875,-43.5
9.312050000000001,-47.40625,-43.375
9.312100000000001,-47.25,-43.625
9.31215,-47.59375,-43.375
9.3122,-47.71875,-43.5625
9.31225,-47.21875,-43.5625
9.3123,-47.0625,-43.53125
9.31235,-47.625,-43.59375
9.3124,-47.8125,-43.5625
9.31245,-47.59375,-43.5625
9.3125,-47.21875,-43.5625
9.31255,-47.40625,-43.5625
